State name,County name,FIPS,Infant Center,Infant Home,Toddler Center,Toddler Home,Preschool Center,Preschool Home,School Age Center,School Age Home
Alabama,Autauga County,F01001,8.5,7.6,8.5,7.6,7.2,7.5,6.8,7.4
Alabama,Baldwin County,F01003,8.7,7.8,8.7,7.8,8,7.8,7.8,7.8
Alabama,Barbour County,F01005,10.1,9.6,10.1,9.6,9.6,9,9.3,8.4
Alabama,Bibb County,F01007,9.9,8.3,9.9,8.3,9.6,8.3,9.7,8.3
Alabama,Blount County,F01009,15.5,9.5,15.5,9.7,13.8,9.7,11,8.3
Alabama,Bullock County,F01011,14.7,13.1,14.7,13.1,12.4,12.9,11.7,12.8
Alabama,Butler County,F01013,14,12.1,14,12.1,11.8,12,11.1,11.8
Alabama,Calhoun County,F01015,9,8,9,8,8.7,7.9,8.7,7
Alabama,Chambers County,F01017,12.6,12.3,12.6,12.3,12.1,11.7,11.8,11
Alabama,Cherokee County,F01019,9.5,6.9,9.5,6.9,8.9,6.4,8.2,6.4
Alabama,Chilton County,F01021,11.9,10.3,11.9,10.3,10,10.2,9.5,10.1
Alabama,Choctaw County,F01023,11.5,9.3,11.5,9.3,11.1,9.3,11.1,9.3
Alabama,Clarke County,F01025,12.5,10.9,12.5,11,11.5,11,11.2,11
Alabama,Clay County,F01027,10.6,9.2,10.6,9.2,10.2,9,10.2,8
Alabama,Cleburne County,F01029,9.8,8.5,9.8,8.5,9.5,8.4,9.5,7.4
Alabama,Coffee County,F01031,6.9,6.6,6.9,6.6,6.6,6.2,6.4,5.7
Alabama,Colbert County,F01033,11.8,10.3,11.8,10.3,10.5,10.3,9.7,10
Alabama,Conecuh County,F01035,16.2,14.2,16.2,14.2,15,14.2,14.6,14.2
Alabama,Coosa County,F01037,10.9,9.5,10.9,9.5,10.6,9.3,10.6,8.3
Alabama,Covington County,F01039,11.5,10.2,11.5,10.2,9.7,10.1,9.2,10
Alabama,Crenshaw County,F01041,8.3,7.7,8.3,7.7,7.9,7.2,7.6,6.7
Alabama,Cullman County,F01043,13.6,11.5,13.6,11.5,12,11.5,11.2,11.2
Alabama,Dale County,F01045,7.9,7.5,7.9,7.5,7.5,7.1,7.3,6.6
Alabama,Dallas County,F01047,15.2,13.5,15.2,13.5,12.8,13.4,12.1,13.3
Alabama,DeKalb County,F01049,10.5,7.6,10.5,7.6,9.8,7.1,9.1,7.1
Alabama,Elmore County,F01051,8.9,7.9,8.9,7.9,7.5,7.8,7.1,7.8
Alabama,Escambia County,F01053,13.4,12,13.4,12.1,12.4,12.1,12.1,12.1
Alabama,Etowah County,F01055,8.3,6.2,8.3,6.2,7.8,5.8,7.2,5.8
Alabama,Fayette County,F01057,11.8,9.5,11.8,9.5,11.4,9.5,11.4,9.5
Alabama,Franklin County,F01059,15,12.7,15,12.7,13.3,12.7,12.3,12.3
Alabama,Geneva County,F01061,9.7,9,9.7,9,9.2,8.5,8.9,7.8
Alabama,Greene County,F01063,18.1,14.7,18.1,14.7,17.5,14.7,17.6,14.7
Alabama,Hale County,F01065,11.7,9.5,11.7,9.5,11.3,9.5,11.4,9.5
Alabama,Henry County,F01067,8,7.4,8,7.4,7.6,7,7.4,6.4
Alabama,Houston County,F01069,7.7,7.3,7.7,7.3,7.3,6.9,7,6.3
