STATE,county,FIPS2,Infant Center,Infant Home,Toddler Center,Toddler Home,PreSchool Center,PreSchool Home,School Age Center,School Age Home,Median Income,Percent of families in poverty (%)
Alabama,Autauga County,F01001,10,8.9,10,8.9,8.8,8.8,8,8.7,73530,12
Alabama,Baldwin County,F01003,10.2,9.2,10.2,9.2,9.2,9.2,9.2,9.2,71951,7.3
Alabama,Barbour County,F01005,11.9,11.3,11.9,11.3,10.6,10.6,10.9,9.9,44339,21.5
Alabama,Bibb County,F01007,11.7,9.7,11.7,9.7,9.7,9.7,11.4,9.7,54840,10.5
Alabama,Blount County,F01009,18.2,11.1,18.2,11.4,11.4,11.4,12.9,9.8,59882,10.2
Alabama,Bullock County,F01011,17.3,15.4,17.3,15.4,15.2,15.2,13.8,15.1,42550,31
Alabama,Butler County,F01013,16.4,14.2,16.4,14.2,14.1,14.1,13.1,13.9,46312,18.9
Alabama,Calhoun County,F01015,10.6,9.5,10.6,9.5,9.3,9.3,10.3,8.2,56402,14.6
Alabama,Chambers County,F01017,14.8,14.5,14.8,14.5,13.8,13.8,13.9,12.9,51386,11.3
Alabama,Cherokee County,F01019,11.2,8.1,11.2,8.1,7.6,7.6,9.7,7.6,52375,12.5
Alabama,Chilton County,F01021,14,12.2,14,12.2,12,12,11.2,11.9,54255,15.3
Alabama,Choctaw County,F01023,13.5,10.9,13.5,10.9,10.9,10.9,13.1,10.9,49138,17.8
Alabama,Clarke County,F01025,14.7,12.8,14.7,12.9,12.9,12.9,13.2,12.9,51813,18.4
Alabama,Clay County,F01027,12.5,10.8,12.5,10.8,10.6,10.6,12.1,9.4,49598,14.8
Alabama,Cleburne County,F01029,11.6,10,11.6,10,9.9,9.9,11.2,8.7,53510,12
Alabama,Coffee County,F01031,8.2,7.7,8.2,7.7,7.3,7.3,7.5,6.8,64723,11.6
Alabama,Colbert County,F01033,13.9,12.1,13.9,12.1,12.1,12.1,11.5,11.7,59406,12.6
